utc_timestamp,temperature,direct_radiation,diffuse_radiation,vienna_temperature,vienna_pressure,vienna_wind_speed,vienna_wind_direction,graz_temperature,graz_pressure,graz_wind_speed,graz_wind_direction,linz_temperature,linz_pressure,linz_wind_speed,linz_wind_direction,salzburg_temperature,salzburg_pressure,salzburg_wind_speed,salzburg_wind_direction,innsbruck_temperature,innsbruck_pressure,innsbruck_wind_speed,innsbruck_wind_direction,klagenfurt_temperature,klagenfurt_pressure,klagenfurt_wind_speed,klagenfurt_wind_direction,solar_prediction,wind_prediction,total_renewable
2026-08-28 00:00:00+00:00,23.5,0.0,0.0,23.5,995.2,10.0,139,20.0,974.7,6.1,40,24.3,983.8,5.2,78,19.9,962.3,3.9,158,24.2,948.9,8.0,275,20.8,964.7,0.8,297,0.58,2209.83,2210.41
2026-08-28 01:00:00+00:00,22.6,0.0,0.0,22.6,995.5,11.0,128,21.3,974.7,6.9,51,23.5,983.5,4.4,99,21.1,962.2,5.2,155,23.3,948.4,7.6,273,20.0,964.4,1.5,14,0.0,2318.27,2318.27
2026-08-28 02:00:00+00:00,21.8,0.0,0.0,21.8,995.2,12.0,129,21.1,974.9,7.1,60,22.5,983.8,2.8,140,20.2,962.5,0.4,180,23.0,948.3,6.6,257,19.3,964.5,1.5,14,0.0,2243.62,2243.62
2026-08-28 03:00:00+00:00,21.4,0.0,0.0,21.4,994.8,12.8,130,20.2,974.3,6.3,59,21.9,983.8,2.5,172,18.3,961.5,1.6,153,22.4,947.9,7.7,281,18.8,963.6,1.8,360,0.14,2185.59,2185.73
2026-08-28 04:00:00+00:00,20.7,0.0,0.0,20.7,994.7,14.1,128,19.8,974.5,4.7,67,21.2,983.2,3.6,174,20.6,961.8,6.9,141,22.2,948.0,7.6,267,18.6,963.9,2.7,337,0.0,2119.19,2119.19
2026-08-28 05:00:00+00:00,20.3,5.0,21.0,20.3,994.8,14.0,125,19.5,974.5,3.7,61,20.9,983.3,3.8,131,22.1,962.0,7.7,152,23.1,948.0,5.8,277,18.5,964.0,2.2,351,32.3,2047.86,2080.16
2026-08-28 06:00:00+00:00,20.8,58.0,78.0,20.8,994.8,13.3,131,21.5,975.4,3.1,54,21.3,984.4,2.6,146,22.8,962.3,7.3,147,22.7,948.0,6.3,294,19.1,964.0,1.9,22,93.55,2158.03,2251.5800000000004
2026-08-28 07:00:00+00:00,21.8,188.0,108.0,21.8,995.3,14.3,131,22.5,975.4,9.1,72,23.0,983.4,4.4,99,25.5,961.7,9.3,144,26.7,948.0,8.3,214,20.4,964.8,1.8,53,247.36,2243.44,2490.8
2026-08-28 08:00:00+00:00,23.6,327.0,127.0,23.6,995.4,16.3,135,23.8,975.5,7.4,76,25.6,983.7,8.7,97,27.8,962.7,7.3,160,26.8,947.9,10.3,192,22.1,964.8,2.2,351,327.95,1822.59,2150.54
2026-08-28 09:00:00+00:00,26.0,440.0,145.0,26.0,994.3,18.1,136,25.4,975.3,4.8,167,27.1,984.0,9.1,99,28.9,962.1,10.5,149,28.5,946.0,10.2,170,23.7,965.0,1.9,68,465.17,1489.76,1954.93
